Month and Year,industries,number
March 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,10
March 2001,Activities related to financial services and insurance,4
March 2001,Real estate,28
March 2001,Legal services and accounting,3
March 2001,Headquarters operations; operations consultancy activities,3
March 2001,Activities of architects and engineers; technical tests and analysis,6
March 2001,Scientific research and development,7
March 2001,Advertising and marketing research,
March 2001,Other professional; scientific and technical activities,7
March 2001,Veterinary medicine,2
March 2001,Rental activities; except real estate leasing,7
March 2001,Employment agency,3
March 2001,Travel agencies; tour operators and other booking services,
March 2001,Security and research activities,7
March 2001,Real estate management; cleaning services and ornamental gardening,3
March 2001,Office services and other business services,9
March 2001,Public administration; defense and social security,4
March 2001,Educational activities,50
March 2001,Health care,18
March 2001,Care in residential homes,50
March 2001,Social services without a stay in an institution,135
March 2001,Creative arts and entertainment,83
March 2001,Museum activities and other cultural activities,56
March 2001,Financial risk and betting activities,38
March 2001,Sports and leisure activities,13
March 2001,Activities of NGOs,13
March 2001,Repair of computers and objects for personal and household use,
March 2001,Other service activities,23
March 2001,Housekeeping with paid staff,16
March 2001,Service activities and home production of various products for personal use,3
March 2001,Activities of extra territorial organisations and bodies,42
March 2001,Working from home,1
March 2001,Student,
March 2001,No work history,
March 2001,Uncertain,66
April 2001,Cultivation of crops and animal husbandry; hunting and related service activities,18
April 2001,Forestry and logging,8
April 2001,Fishing and aquaculture,124
April 2001,Coal mining,
April 2001,Crude oil and natural gas production,
April 2001,Metallurgy and metallurgy,1
April 2001,Mining and processing of other raw materials from the ground,7
April 2001,Mining services,
April 2001,Food production,601
April 2001,Manufacture of beverages,130
April 2001,Manufacture of textiles,
April 2001,Clothing making,
April 2001,Manufacture of leather and leather products,10
April 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,27
April 2001,Manufacture of paper and paper products,14
April 2001,Printing and duplication of recorded material,10
April 2001,Production of coke and refined petroleum products,10
April 2001,Manufacture of chemicals and chemical products,20
April 2001,Manufacture of pharmaceutical preparations and preparations,2
April 2001,Manufacture of rubber and plastic products,8
April 2001,Manufacture of non-metallic mineral products,3
April 2001,Manufacture of basic metals,25
April 2001,Manufacture of fabricated metal products; except machinery and equipment,6
April 2001,Manufacture of computer; electronic and optical products,3
April 2001,Manufacture of electrical and household appliances,14
April 2001,Manufacture of other machinery and equipment nec,
April 2001,Manufacture of motor vehicles and trailers,
April 2001,Manufacture of other vehicles,23
April 2001,Manufacture of furniture and fittings,
April 2001,Production; nec,10
April 2001,Repair and installation of hardware and equipment,3
April 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,23
April 2001,Water supply; collection and treatment of water,3
April 2001,Garbage collection; treatment and disposal of waste; material reuse,2
April 2001,Decontamination and other waste treatment services,2
April 2001,Housing construction; development of construction projects,
April 2001,Civil engineering,17
April 2001,Specialized construction activities,
April 2001,Sale; repair and maintenance of motor vehicles and trailers,101
April 2001,Wholesale trade; except of motor vehicles and motorcycles,
April 2001,Retail trade; except of motor vehicles and motorcycles,42
April 2001,Land transport and by pipeline,27
April 2001,Transport by sea and waterways,85
April 2001,Air transportation,309
April 2001,Warehousing and support activities for transport,16
April 2001,Post and courier services,16
April 2001,Operation of accommodation,16
April 2001,Catering and service,89
April 2001,Publishing activities,22
April 2001,Production of films; videos and television material; audio recording and music publishing,49
April 2001,Radio and television broadcasting; programming,97
April 2001,Telecommunications,29
April 2001,Information technology services,1
April 2001,Information service activities,6
April 2001,Financial services; excluding the activities of insurance companies and pension funds,12
April 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,11
April 2001,Activities related to financial services and insurance,4
April 2001,Real estate,31
April 2001,Legal services and accounting,4
April 2001,Headquarters operations; operations consultancy activities,3
April 2001,Activities of architects and engineers; technical tests and analysis,7
April 2001,Scientific research and development,9
April 2001,Advertising and marketing research,
April 2001,Other professional; scientific and technical activities,7
April 2001,Veterinary medicine,2
April 2001,Rental activities; except real estate leasing,13
April 2001,Employment agency,3
April 2001,Travel agencies; tour operators and other booking services,
April 2001,Security and research activities,5
April 2001,Real estate management; cleaning services and ornamental gardening,1
April 2001,Office services and other business services,7
April 2001,Public administration; defense and social security,6
April 2001,Educational activities,50
April 2001,Health care,16
April 2001,Care in residential homes,51
April 2001,Social services without a stay in an institution,143
April 2001,Creative arts and entertainment,85
April 2001,Museum activities and other cultural activities,52
April 2001,Financial risk and betting activities,39
April 2001,Sports and leisure activities,15
April 2001,Activities of NGOs,7
April 2001,Repair of computers and objects for personal and household use,
April 2001,Other service activities,24
April 2001,Housekeeping with paid staff,17
April 2001,Service activities and home production of various products for personal use,2
April 2001,Activities of extra territorial organisations and bodies,37
April 2001,Working from home,2
April 2001,Student,
April 2001,No work history,
April 2001,Uncertain,67
May 2001,Cultivation of crops and animal husbandry; hunting and related service activities,8
May 2001,Forestry and logging,19
May 2001,Fishing and aquaculture,60
May 2001,Coal mining,
May 2001,Crude oil and natural gas production,
May 2001,Metallurgy and metallurgy,1
May 2001,Mining and processing of other raw materials from the ground,1
May 2001,Mining services,
May 2001,Food production,197
May 2001,Manufacture of beverages,106
May 2001,Manufacture of textiles,1
May 2001,Clothing making,
May 2001,Manufacture of leather and leather products,12
May 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,20
May 2001,Manufacture of paper and paper products,10
May 2001,Printing and duplication of recorded material,6
May 2001,Production of coke and refined petroleum products,10
May 2001,Manufacture of chemicals and chemical products,19
May 2001,Manufacture of pharmaceutical preparations and preparations,2
May 2001,Manufacture of rubber and plastic products,11
May 2001,Manufacture of non-metallic mineral products,2
May 2001,Manufacture of basic metals,23
May 2001,Manufacture of fabricated metal products; except machinery and equipment,4
May 2001,Manufacture of computer; electronic and optical products,2
May 2001,Manufacture of electrical and household appliances,12
May 2001,Manufacture of other machinery and equipment nec,
May 2001,Manufacture of motor vehicles and trailers,
May 2001,Manufacture of other vehicles,16
May 2001,Manufacture of furniture and fittings,
May 2001,Production; nec,11
May 2001,Repair and installation of hardware and equipment,3
May 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,14
May 2001,Water supply; collection and treatment of water,4
May 2001,Garbage collection; treatment and disposal of waste; material reuse,5
May 2001,Decontamination and other waste treatment services,
May 2001,Housing construction; development of construction projects,
May 2001,Civil engineering,19
May 2001,Specialized construction activities,
May 2001,Sale; repair and maintenance of motor vehicles and trailers,64
May 2001,Wholesale trade; except of motor vehicles and motorcycles,
May 2001,Retail trade; except of motor vehicles and motorcycles,24
May 2001,Land transport and by pipeline,22
May 2001,Transport by sea and waterways,77
May 2001,Air transportation,286
May 2001,Warehousing and support activities for transport,12
May 2001,Post and courier services,13
May 2001,Operation of accommodation,15
May 2001,Catering and service,62
May 2001,Publishing activities,20
May 2001,Production of films; videos and television material; audio recording and music publishing,40
May 2001,Radio and television broadcasting; programming,89
May 2001,Telecommunications,36
May 2001,Information technology services,2
May 2001,Information service activities,7
May 2001,Financial services; excluding the activities of insurance companies and pension funds,15
May 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,19
May 2001,Activities related to financial services and insurance,14
May 2001,Real estate,26
May 2001,Legal services and accounting,2
May 2001,Headquarters operations; operations consultancy activities,4
May 2001,Activities of architects and engineers; technical tests and analysis,8
May 2001,Scientific research and development,9
May 2001,Advertising and marketing research,
May 2001,Other professional; scientific and technical activities,6
May 2001,Veterinary medicine,8
May 2001,Rental activities; except real estate leasing,20
May 2001,Employment agency,3
May 2001,Travel agencies; tour operators and other booking services,
May 2001,Security and research activities,4
May 2001,Real estate management; cleaning services and ornamental gardening,1
May 2001,Office services and other business services,6
May 2001,Public administration; defense and social security,7
May 2001,Educational activities,44
May 2001,Health care,18
May 2001,Care in residential homes,52
May 2001,Social services without a stay in an institution,139
May 2001,Creative arts and entertainment,80
May 2001,Museum activities and other cultural activities,48
May 2001,Financial risk and betting activities,38
May 2001,Sports and leisure activities,12
May 2001,Activities of NGOs,9
May 2001,Repair of computers and objects for personal and household use,
May 2001,Other service activities,31
May 2001,Housekeeping with paid staff,16
May 2001,Service activities and home production of various products for personal use,3
May 2001,Activities of extra territorial organisations and bodies,35
May 2001,Working from home,2
May 2001,Student,
May 2001,No work history,
May 2001,Uncertain,49
June 2001,Cultivation of crops and animal husbandry; hunting and related service activities,7
June 2001,Forestry and logging,5
June 2001,Fishing and aquaculture,55
June 2001,Coal mining,
June 2001,Crude oil and natural gas production,1
June 2001,Metallurgy and metallurgy,1
June 2001,Mining and processing of other raw materials from the ground,1
June 2001,Mining services,
June 2001,Food production,127
June 2001,Manufacture of beverages,81
June 2001,Manufacture of textiles,1
June 2001,Clothing making,
June 2001,Manufacture of leather and leather products,7
June 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,18
June 2001,Manufacture of paper and paper products,7
June 2001,Printing and duplication of recorded material,6
June 2001,Production of coke and refined petroleum products,11
June 2001,Manufacture of chemicals and chemical products,20
June 2001,Manufacture of pharmaceutical preparations and preparations,2
June 2001,Manufacture of rubber and plastic products,9
June 2001,Manufacture of non-metallic mineral products,1
June 2001,Manufacture of basic metals,17
June 2001,Manufacture of fabricated metal products; except machinery and equipment,4
June 2001,Manufacture of computer; electronic and optical products,5
June 2001,Manufacture of electrical and household appliances,13
June 2001,Manufacture of other machinery and equipment nec,1
June 2001,Manufacture of motor vehicles and trailers,
June 2001,Manufacture of other vehicles,10
June 2001,Manufacture of furniture and fittings,1
June 2001,Production; nec,11
June 2001,Repair and installation of hardware and equipment,5
June 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,11
June 2001,Water supply; collection and treatment of water,5
June 2001,Garbage collection; treatment and disposal of waste; material reuse,4
June 2001,Decontamination and other waste treatment services,1
June 2001,Housing construction; development of construction projects,
June 2001,Civil engineering,11
June 2001,Specialized construction activities,
June 2001,Sale; repair and maintenance of motor vehicles and trailers,62
June 2001,Wholesale trade; except of motor vehicles and motorcycles,
June 2001,Retail trade; except of motor vehicles and motorcycles,20
June 2001,Land transport and by pipeline,20
June 2001,Transport by sea and waterways,83
June 2001,Air transportation,287
June 2001,Warehousing and support activities for transport,11
June 2001,Post and courier services,10
June 2001,Operation of accommodation,11
June 2001,Catering and service,52
June 2001,Publishing activities,25
June 2001,Production of films; videos and television material; audio recording and music publishing,38
June 2001,Radio and television broadcasting; programming,99
June 2001,Telecommunications,33
June 2001,Information technology services,3
June 2001,Information service activities,6
June 2001,Financial services; excluding the activities of insurance companies and pension funds,12
June 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,17
June 2001,Activities related to financial services and insurance,9
June 2001,Real estate,33
June 2001,Legal services and accounting,2
June 2001,Headquarters operations; operations consultancy activities,3
June 2001,Activities of architects and engineers; technical tests and analysis,7
June 2001,Scientific research and development,8
June 2001,Advertising and marketing research,
June 2001,Other professional; scientific and technical activities,7
June 2001,Veterinary medicine,7
June 2001,Rental activities; except real estate leasing,21
June 2001,Employment agency,2
June 2001,Travel agencies; tour operators and other booking services,
June 2001,Security and research activities,4
June 2001,Real estate management; cleaning services and ornamental gardening,1
June 2001,Office services and other business services,7
June 2001,Public administration; defense and social security,5
June 2001,Educational activities,39
June 2001,Health care,18
June 2001,Care in residential homes,53
June 2001,Social services without a stay in an institution,270
June 2001,Creative arts and entertainment,71
June 2001,Museum activities and other cultural activities,50
June 2001,Financial risk and betting activities,29
June 2001,Sports and leisure activities,17
June 2001,Activities of NGOs,10
June 2001,Repair of computers and objects for personal and household use,
June 2001,Other service activities,25
June 2001,Housekeeping with paid staff,21
June 2001,Service activities and home production of various products for personal use,3
June 2001,Activities of extra territorial organisations and bodies,43
June 2001,Working from home,1
June 2001,Student,
June 2001,No work history,
June 2001,Uncertain,58
July 2001,Cultivation of crops and animal husbandry; hunting and related service activities,9
July 2001,Forestry and logging,5
July 2001,Fishing and aquaculture,59
July 2001,Coal mining,
July 2001,Crude oil and natural gas production,
July 2001,Metallurgy and metallurgy,1
July 2001,Mining and processing of other raw materials from the ground,1
July 2001,Mining services,
July 2001,Food production,122
July 2001,Manufacture of beverages,89
July 2001,Manufacture of textiles,1
July 2001,Clothing making,
July 2001,Manufacture of leather and leather products,8
July 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,16
July 2001,Manufacture of paper and paper products,9
July 2001,Printing and duplication of recorded material,4
July 2001,Production of coke and refined petroleum products,8
July 2001,Manufacture of chemicals and chemical products,18
July 2001,Manufacture of pharmaceutical preparations and preparations,2
July 2001,Manufacture of rubber and plastic products,10
July 2001,Manufacture of non-metallic mineral products,1
July 2001,Manufacture of basic metals,16
July 2001,Manufacture of fabricated metal products; except machinery and equipment,4
July 2001,Manufacture of computer; electronic and optical products,5
July 2001,Manufacture of electrical and household appliances,13
July 2001,Manufacture of other machinery and equipment nec,1
July 2001,Manufacture of motor vehicles and trailers,
July 2001,Manufacture of other vehicles,7
July 2001,Manufacture of furniture and fittings,
July 2001,Production; nec,9
July 2001,Repair and installation of hardware and equipment,3
July 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,6
July 2001,Water supply; collection and treatment of water,6
July 2001,Garbage collection; treatment and disposal of waste; material reuse,3
July 2001,Decontamination and other waste treatment services,1
July 2001,Housing construction; development of construction projects,
July 2001,Civil engineering,12
July 2001,Specialized construction activities,
July 2001,Sale; repair and maintenance of motor vehicles and trailers,67
July 2001,Wholesale trade; except of motor vehicles and motorcycles,
July 2001,Retail trade; except of motor vehicles and motorcycles,19
July 2001,Land transport and by pipeline,23
July 2001,Transport by sea and waterways,73
July 2001,Air transportation,260
July 2001,Warehousing and support activities for transport,7
July 2001,Post and courier services,8
July 2001,Operation of accommodation,8
July 2001,Catering and service,38
July 2001,Publishing activities,23
July 2001,Production of films; videos and television material; audio recording and music publishing,39
July 2001,Radio and television broadcasting; programming,92
July 2001,Telecommunications,32
July 2001,Information technology services,2
July 2001,Information service activities,6
July 2001,Financial services; excluding the activities of insurance companies and pension funds,11
July 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,21
July 2001,Activities related to financial services and insurance,9
July 2001,Real estate,32
July 2001,Legal services and accounting,2
July 2001,Headquarters operations; operations consultancy activities,3
July 2001,Activities of architects and engineers; technical tests and analysis,7
July 2001,Scientific research and development,9
July 2001,Advertising and marketing research,
July 2001,Other professional; scientific and technical activities,8
July 2001,Veterinary medicine,8
July 2001,Rental activities; except real estate leasing,19
July 2001,Employment agency,2
July 2001,Travel agencies; tour operators and other booking services,
July 2001,Security and research activities,3
July 2001,Real estate management; cleaning services and ornamental gardening,1
July 2001,Office services and other business services,9
July 2001,Public administration; defense and social security,4
July 2001,Educational activities,46
July 2001,Health care,18
July 2001,Care in residential homes,50
July 2001,Social services without a stay in an institution,269
July 2001,Creative arts and entertainment,68
July 2001,Museum activities and other cultural activities,46
July 2001,Financial risk and betting activities,30
July 2001,Sports and leisure activities,16
July 2001,Activities of NGOs,9
July 2001,Repair of computers and objects for personal and household use,
July 2001,Other service activities,22
July 2001,Housekeeping with paid staff,20
July 2001,Service activities and home production of various products for personal use,5
July 2001,Activities of extra territorial organisations and bodies,37
July 2001,Working from home,1
July 2001,Student,
July 2001,No work history,
July 2001,Uncertain,61
August 2001,Cultivation of crops and animal husbandry; hunting and related service activities,7
August 2001,Forestry and logging,8
August 2001,Fishing and aquaculture,55
August 2001,Coal mining,
August 2001,Crude oil and natural gas production,
August 2001,Metallurgy and metallurgy,1
August 2001,Mining and processing of other raw materials from the ground,3
August 2001,Mining services,
August 2001,Food production,111
August 2001,Manufacture of beverages,80
August 2001,Manufacture of textiles,2
August 2001,Clothing making,
August 2001,Manufacture of leather and leather products,7
August 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,17
August 2001,Manufacture of paper and paper products,4
August 2001,Printing and duplication of recorded material,3
August 2001,Production of coke and refined petroleum products,11
August 2001,Manufacture of chemicals and chemical products,23
August 2001,Manufacture of pharmaceutical preparations and preparations,2
August 2001,Manufacture of rubber and plastic products,7
August 2001,Manufacture of non-metallic mineral products,2
August 2001,Manufacture of basic metals,19
August 2001,Manufacture of fabricated metal products; except machinery and equipment,4
August 2001,Manufacture of computer; electronic and optical products,3
August 2001,Manufacture of electrical and household appliances,15
August 2001,Manufacture of other machinery and equipment nec,
August 2001,Manufacture of motor vehicles and trailers,
August 2001,Manufacture of other vehicles,3
August 2001,Manufacture of furniture and fittings,
August 2001,Production; nec,7
August 2001,Repair and installation of hardware and equipment,4
August 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,10
August 2001,Water supply; collection and treatment of water,3
August 2001,Garbage collection; treatment and disposal of waste; material reuse,2
August 2001,Decontamination and other waste treatment services,
August 2001,Housing construction; development of construction projects,
August 2001,Civil engineering,11
August 2001,Specialized construction activities,
August 2001,Sale; repair and maintenance of motor vehicles and trailers,44
August 2001,Wholesale trade; except of motor vehicles and motorcycles,
August 2001,Retail trade; except of motor vehicles and motorcycles,18
August 2001,Land transport and by pipeline,22
August 2001,Transport by sea and waterways,73
August 2001,Air transportation,238
August 2001,Warehousing and support activities for transport,10
August 2001,Post and courier services,5
August 2001,Operation of accommodation,6
August 2001,Catering and service,38
August 2001,Publishing activities,21
August 2001,Production of films; videos and television material; audio recording and music publishing,39
August 2001,Radio and television broadcasting; programming,66
August 2001,Telecommunications,28
August 2001,Information technology services,1
August 2001,Information service activities,9
August 2001,Financial services; excluding the activities of insurance companies and pension funds,14
August 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,24
August 2001,Activities related to financial services and insurance,11
August 2001,Real estate,30
August 2001,Legal services and accounting,3
August 2001,Headquarters operations; operations consultancy activities,3
August 2001,Activities of architects and engineers; technical tests and analysis,8
August 2001,Scientific research and development,8
August 2001,Advertising and marketing research,1
August 2001,Other professional; scientific and technical activities,7
August 2001,Veterinary medicine,4
August 2001,Rental activities; except real estate leasing,14
August 2001,Employment agency,1
August 2001,Travel agencies; tour operators and other booking services,
August 2001,Security and research activities,4
August 2001,Real estate management; cleaning services and ornamental gardening,2
August 2001,Office services and other business services,9
August 2001,Public administration; defense and social security,5
August 2001,Educational activities,48
August 2001,Health care,13
August 2001,Care in residential homes,50
August 2001,Social services without a stay in an institution,155
August 2001,Creative arts and entertainment,64
August 2001,Museum activities and other cultural activities,49
August 2001,Financial risk and betting activities,27
August 2001,Sports and leisure activities,16
August 2001,Activities of NGOs,11
August 2001,Repair of computers and objects for personal and household use,1
August 2001,Other service activities,23
August 2001,Housekeeping with paid staff,16
August 2001,Service activities and home production of various products for personal use,6
August 2001,Activities of extra territorial organisations and bodies,27
August 2001,Working from home,1
August 2001,Student,
August 2001,No work history,
August 2001,Uncertain,50
September 2001,Cultivation of crops and animal husbandry; hunting and related service activities,12
September 2001,Forestry and logging,7
September 2001,Fishing and aquaculture,57
September 2001,Coal mining,
September 2001,Crude oil and natural gas production,
September 2001,Metallurgy and metallurgy,1
September 2001,Mining and processing of other raw materials from the ground,6
September 2001,Mining services,
September 2001,Food production,114
September 2001,Manufacture of beverages,75
September 2001,Manufacture of textiles,3
September 2001,Clothing making,
September 2001,Manufacture of leather and leather products,8
September 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,11
September 2001,Manufacture of paper and paper products,50
September 2001,Printing and duplication of recorded material,3
September 2001,Production of coke and refined petroleum products,12
September 2001,Manufacture of chemicals and chemical products,16
September 2001,Manufacture of pharmaceutical preparations and preparations,2
September 2001,Manufacture of rubber and plastic products,6
September 2001,Manufacture of non-metallic mineral products,1
September 2001,Manufacture of basic metals,21
September 2001,Manufacture of fabricated metal products; except machinery and equipment,3
September 2001,Manufacture of computer; electronic and optical products,5
September 2001,Manufacture of electrical and household appliances,16
September 2001,Manufacture of other machinery and equipment nec,
September 2001,Manufacture of motor vehicles and trailers,
September 2001,Manufacture of other vehicles,3
September 2001,Manufacture of furniture and fittings,
September 2001,Production; nec,7
September 2001,Repair and installation of hardware and equipment,1
September 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,11
September 2001,Water supply; collection and treatment of water,4
September 2001,Garbage collection; treatment and disposal of waste; material reuse,3
September 2001,Decontamination and other waste treatment services,
September 2001,Housing construction; development of construction projects,
September 2001,Civil engineering,15
September 2001,Specialized construction activities,
September 2001,Sale; repair and maintenance of motor vehicles and trailers,49
September 2001,Wholesale trade; except of motor vehicles and motorcycles,
September 2001,Retail trade; except of motor vehicles and motorcycles,21
September 2001,Land transport and by pipeline,25
September 2001,Transport by sea and waterways,84
September 2001,Air transportation,230
September 2001,Warehousing and support activities for transport,18
September 2001,Post and courier services,7
September 2001,Operation of accommodation,7
September 2001,Catering and service,48
September 2001,Publishing activities,27
September 2001,Production of films; videos and television material; audio recording and music publishing,44
September 2001,Radio and television broadcasting; programming,79
September 2001,Telecommunications,27
September 2001,Information technology services,1
September 2001,Information service activities,8
September 2001,Financial services; excluding the activities of insurance companies and pension funds,14
September 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,31
September 2001,Activities related to financial services and insurance,8
September 2001,Real estate,33
September 2001,Legal services and accounting,5
September 2001,Headquarters operations; operations consultancy activities,3
September 2001,Activities of architects and engineers; technical tests and analysis,8
September 2001,Scientific research and development,10
September 2001,Advertising and marketing research,
September 2001,Other professional; scientific and technical activities,9
September 2001,Veterinary medicine,8
September 2001,Rental activities; except real estate leasing,13
September 2001,Employment agency,2
September 2001,Travel agencies; tour operators and other booking services,
September 2001,Security and research activities,5
September 2001,Real estate management; cleaning services and ornamental gardening,4
September 2001,Office services and other business services,11
September 2001,Public administration; defense and social security,4
September 2001,Educational activities,38
September 2001,Health care,19
September 2001,Care in residential homes,56
September 2001,Social services without a stay in an institution,134
September 2001,Creative arts and entertainment,59
September 2001,Museum activities and other cultural activities,41
September 2001,Financial risk and betting activities,34
September 2001,Sports and leisure activities,15
September 2001,Activities of NGOs,9
September 2001,Repair of computers and objects for personal and household use,
September 2001,Other service activities,25
September 2001,Housekeeping with paid staff,7
September 2001,Service activities and home production of various products for personal use,4
September 2001,Activities of extra territorial organisations and bodies,31
September 2001,Working from home,1
September 2001,Student,
September 2001,No work history,
September 2001,Uncertain,67
October 2001,Cultivation of crops and animal husbandry; hunting and related service activities,19
October 2001,Forestry and logging,7
October 2001,Fishing and aquaculture,63
October 2001,Coal mining,
October 2001,Crude oil and natural gas production,
October 2001,Metallurgy and metallurgy,2
October 2001,Mining and processing of other raw materials from the ground,3
October 2001,Mining services,
October 2001,Food production,131
October 2001,Manufacture of beverages,105
October 2001,Manufacture of textiles,12
October 2001,Clothing making,
October 2001,Manufacture of leather and leather products,9
October 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,14
October 2001,Manufacture of paper and paper products,37
October 2001,Printing and duplication of recorded material,5
October 2001,Production of coke and refined petroleum products,10
October 2001,Manufacture of chemicals and chemical products,29
October 2001,Manufacture of pharmaceutical preparations and preparations,1
October 2001,Manufacture of rubber and plastic products,6
October 2001,Manufacture of non-metallic mineral products,1
October 2001,Manufacture of basic metals,19
October 2001,Manufacture of fabricated metal products; except machinery and equipment,4
October 2001,Manufacture of computer; electronic and optical products,6
October 2001,Manufacture of electrical and household appliances,20
October 2001,Manufacture of other machinery and equipment nec,
October 2001,Manufacture of motor vehicles and trailers,
October 2001,Manufacture of other vehicles,7
October 2001,Manufacture of furniture and fittings,1
October 2001,Production; nec,4
October 2001,Repair and installation of hardware and equipment,1
October 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,21
October 2001,Water supply; collection and treatment of water,5
October 2001,Garbage collection; treatment and disposal of waste; material reuse,5
October 2001,Decontamination and other waste treatment services,
October 2001,Housing construction; development of construction projects,
October 2001,Civil engineering,18
October 2001,Specialized construction activities,
October 2001,Sale; repair and maintenance of motor vehicles and trailers,84
October 2001,Wholesale trade; except of motor vehicles and motorcycles,
October 2001,Retail trade; except of motor vehicles and motorcycles,41
October 2001,Land transport and by pipeline,30
October 2001,Transport by sea and waterways,93
October 2001,Air transportation,273
October 2001,Warehousing and support activities for transport,23
October 2001,Post and courier services,12
October 2001,Operation of accommodation,12
October 2001,Catering and service,53
October 2001,Publishing activities,30
October 2001,Production of films; videos and television material; audio recording and music publishing,51
October 2001,Radio and television broadcasting; programming,83
October 2001,Telecommunications,34
October 2001,Information technology services,4
October 2001,Information service activities,8
October 2001,Financial services; excluding the activities of insurance companies and pension funds,12
October 2001,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,34
October 2001,Activities related to financial services and insurance,4
October 2001,Real estate,38
October 2001,Legal services and accounting,5
October 2001,Headquarters operations; operations consultancy activities,3
October 2001,Activities of architects and engineers; technical tests and analysis,10
October 2001,Scientific research and development,15
October 2001,Advertising and marketing research,1
October 2001,Other professional; scientific and technical activities,9
October 2001,Veterinary medicine,8
October 2001,Rental activities; except real estate leasing,14
October 2001,Employment agency,2
October 2001,Travel agencies; tour operators and other booking services,
October 2001,Security and research activities,8
October 2001,Real estate management; cleaning services and ornamental gardening,3
October 2001,Office services and other business services,21
October 2001,Public administration; defense and social security,4
October 2001,Educational activities,44
October 2001,Health care,19
October 2001,Care in residential homes,67
October 2001,Social services without a stay in an institution,127
October 2001,Creative arts and entertainment,67
October 2001,Museum activities and other cultural activities,59
October 2001,Financial risk and betting activities,37
October 2001,Sports and leisure activities,12
October 2001,Activities of NGOs,8
October 2001,Repair of computers and objects for personal and household use,
October 2001,Other service activities,31
October 2001,Housekeeping with paid staff,8
October 2001,Service activities and home production of various products for personal use,5
October 2001,Activities of extra territorial organisations and bodies,36
October 2001,Working from home,1
October 2001,Student,
October 2001,No work history,
October 2001,Uncertain,100
November 2001,Cultivation of crops and animal husbandry; hunting and related service activities,19
November 2001,Forestry and logging,14
November 2001,Fishing and aquaculture,90
November 2001,Coal mining,
November 2001,Crude oil and natural gas production,
November 2001,Metallurgy and metallurgy,3
November 2001,Mining and processing of other raw materials from the ground,7
November 2001,Mining services,
November 2001,Food production,172
November 2001,Manufacture of beverages,143
November 2001,Manufacture of textiles,15
November 2001,Clothing making,
November 2001,Manufacture of leather and leather products,10
November 2001,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,20
November 2001,Manufacture of paper and paper products,35
November 2001,Printing and duplication of recorded material,3
November 2001,Production of coke and refined petroleum products,10
November 2001,Manufacture of chemicals and chemical products,29
November 2001,Manufacture of pharmaceutical preparations and preparations,1
November 2001,Manufacture of rubber and plastic products,7
November 2001,Manufacture of non-metallic mineral products,1
November 2001,Manufacture of basic metals,20
November 2001,Manufacture of fabricated metal products; except machinery and equipment,9
November 2001,Manufacture of computer; electronic and optical products,4
November 2001,Manufacture of electrical and household appliances,30
November 2001,Manufacture of other machinery and equipment nec,
November 2001,Manufacture of motor vehicles and trailers,
November 2001,Manufacture of other vehicles,5
November 2001,Manufacture of furniture and fittings,
November 2001,Production; nec,8
November 2001,Repair and installation of hardware and equipment,3
November 2001,Electricity; gas and heating utilities; refrigeration and ventilation systems,22
November 2001,Water supply; collection and treatment of water,8
November 2001,Garbage collection; treatment and disposal of waste; material reuse,3
November 2001,Decontamination and other waste treatment services,
November 2001,Housing construction; development of construction projects,
November 2001,Civil engineering,18
November 2001,Specialized construction activities,
November 2001,Sale; repair and maintenance of motor vehicles and trailers,110
November 2001,Wholesale trade; except of motor vehicles and motorcycles,
November 2001,Retail trade; except of motor vehicles and motorcycles,67
November 2001,Land transport and by pipeline,46
November 2001,Transport by sea and waterways,92
November 2001,Air transportation,308
November 2001,Warehousing and support activities for transport,28
November 2001,Post and courier services,11
November 2001,Operation of accommodation,23
November 2001,Catering and service,75
November 2001,Publishing activities,33
November 2001,Production of films; videos and television material; audio recording and music publishing,64
November 2001,Radio and television broadcasting; programming,105
